"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Conservative_6"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"	"Laminar_Viscosity"	"Skin_Friction_Coefficient_X"	"Skin_Friction_Coefficient_Y"	"Skin_Friction_Coefficient_Z"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"	"Points:0"	"Points:1"	"Points:2"
1.1359	324.2	-0.13977	16.624	2.8124e+005	4.7225e-005	93941	288.11	-0.00087088	0.83991	1.7891e-005	0	0	0	0	0	3.7562e-006	4.4627	0.45418	3.9824
1.1362	324.19	-0.020977	15.576	2.813e+005	4.7306e-005	93975	288.14	-0.0001191	0.83949	1.7893e-005	0	0	0	0	0	3.7839e-006	4.1125	0	2.4145
1.1359	324.22	-0.01965	16.522	2.8124e+005	4.7293e-005	93940	288.11	-0.00088344	0.83995	1.7891e-005	0	0	0	0	0	3.7768e-006	4.1713	0	3.9455
1.1363	324.17	-0.0065084	15.521	2.8133e+005	4.7355e-005	93996	288.16	0.00031596	0.83926	1.7893e-005	0	0	0	0	0	3.8002e-006	5.6413	0	2.4152
1.1361	324.16	-0.14659	16.599	2.813e+005	4.7234e-005	93974	288.14	-0.00016148	0.83954	1.7893e-005	0	0	0	0	0	3.7617e-006	5.6413	0.48372	3.9455
1.1361	324.14	-1.2519	17.316	2.8129e+005	4.7244e-005	93968	288.13	-0.00028988	0.83964	1.7892e-005	0	0	0	0	0	3.7643e-006	3.9839	2.3142	1.9542
1.1363	324.12	-1.272	17.285	2.8133e+005	4.7512e-005	93986	288.15	0.00011384	0.83945	1.7893e-005	0	0	0	0	0	3.8473e-006	5.6413	2.2451	1.9996
1.1361	324.13	-1.2194	17.431	2.813e+005	4.7288e-005	93971	288.14	-0.00022075	0.8396	1.7892e-005	0	0	0	0	0	3.7779e-006	4.7297	2.3722	1.9196
1.1362	324.11	-1.1302	17.574	2.8132e+005	4.7383e-005	93981	288.15	-1.169e-006	0.8395	1.7893e-005	0	0	0	0	0	3.8076e-006	5.6413	2.4994	1.8405
1.1364	324.13	-2.6477	18.159	2.8136e+005	5.3537e-005	93994	288.15	0.00028629	0.83954	1.7893e-005	0	0	0	0	0	6.0197e-006	5.6413	1.8604	1.121
1.1358	324.19	-0.53913	17.283	2.8124e+005	4.7221e-005	93936	288.11	-0.00097701	0.84001	1.7891e-005	0	0	0	0	0	3.7544e-006	3.7194	3.4054	3.0453
1.1359	324.18	-0.53893	17.316	2.8125e+005	4.7222e-005	93943	288.12	-0.00080919	0.83993	1.7891e-005	0	0	0	0	0	3.7555e-006	4.2363	3.4369	3.0466
1.1358	324.19	-0.56172	17.199	2.8125e+005	4.7218e-005	93940	288.11	-0.00088405	0.83997	1.7891e-005	0	0	0	0	0	3.7542e-006	4.2282	3.066	3.3031
1.136	324.18	-0.56015	17.248	2.8127e+005	4.7223e-005	93953	288.12	-0.00060187	0.83984	1.7892e-005	0	0	0	0	0	3.7567e-006	4.8785	3.1134	3.2968
1.136	324.17	-0.52558	17.365	2.8127e+005	4.7226e-005	93955	288.13	-0.00056044	0.83982	1.7892e-005	0	0	0	0	0	3.7577e-006	4.8818	3.485	3.0388
1.1361	324.15	-0.54769	17.283	2.8131e+005	4.723e-005	93974	288.14	-0.00015371	0.83961	1.7893e-005	0	0	0	0	0	3.7605e-006	5.6413	3.1867	3.2807
1.1361	324.12	-1.1661	17.511	2.813e+005	4.7246e-005	93971	288.14	-0.00022578	0.83961	1.7892e-005	0	0	0	0	0	3.765e-006	3.4078	2.5204	1.7879
1.1361	324.12	-1.1372	17.577	2.8129e+005	4.724e-005	93970	288.14	-0.00024349	0.83961	1.7892e-005	0	0	0	0	0	3.7631e-006	3.978	2.5489	1.776
1.1358	324.18	-0.50613	17.38	2.8124e+005	4.7224e-005	93940	288.11	-0.00088919	0.83997	1.7891e-005	0	0	0	0	0	3.7559e-006	3.7137	3.7445	2.7553
1.137	323.97	-0.016154	18.189	2.8149e+005	4.7293e-005	94074	288.23	0.0020098	0.83851	1.7897e-005	0	0	0	0	0	3.7876e-006	-0.6887	0	1.1933
1.1363	324.08	0.012865	17.615	2.8133e+005	4.7262e-005	93991	288.16	0.00022232	0.83935	1.7893e-005	0	0	0	0	0	3.7715e-006	-1.227	0.28566	1.8094
1.1362	324.09	-0.0025205	17.6	2.8131e+005	4.7256e-005	93981	288.15	6.0873e-006	0.83945	1.7893e-005	0	0	0	0	0	3.769e-006	-1.2559	0	1.945
1.136	324.11	-0.0010818	17.631	2.8127e+005	4.7249e-005	93961	288.13	-0.00042588	0.83965	1.7892e-005	0	0	0	0	0	3.7654e-006	-1.1383	0	2.0168
1.1362	324.12	-0.00027813	17.406	2.8132e+005	4.7252e-005	93981	288.15	6.7174e-006	0.83949	1.7893e-005	0	0	0	0	0	3.7676e-006	-2.0482	0.42519	3.0806
1.1362	324.12	-0.0021456	17.401	2.8131e+005	4.725e-005	93977	288.15	-8.4562e-005	0.83954	1.7893e-005	0	0	0	0	0	3.7668e-006	-2.0179	0	3.3037
1.1362	324.11	0.00090304	17.402	2.8133e+005	4.7254e-005	93987	288.15	0.00012312	0.83943	1.7893e-005	0	0	0	0	0	3.7687e-006	-2.2113	0.42101	2.9644
1.1365	324.06	0.031773	17.602	2.8138e+005	4.7272e-005	94015	288.18	0.00072292	0.83912	1.7894e-005	0	0	0	0	0	3.7766e-006	-1.2759	0.54565	1.6128
1.1364	324.07	0.012176	17.585	2.8136e+005	4.7268e-005	94008	288.17	0.00057484	0.8392	1.7894e-005	0	0	0	0	0	3.7746e-006	-1.3309	0.28412	1.7306
1.1363	324.1	0.0043682	17.406	2.8133e+005	4.7255e-005	93990	288.16	0.00020118	0.83939	1.7893e-005	0	0	0	0	0	3.7694e-006	-2.194	0.80868	2.7621
1.1363	324.1	0.0057453	17.4	2.8134e+005	4.7257e-005	93995	288.16	0.00029244	0.83934	1.7894e-005	0	0	0	0	0	3.7702e-006	-2.342	0.79968	2.6384
